number,sys_id,short_description,priority,state,assignment_group,assigned_to,opened_by,company,sys_created_on,sys_updated_on,link,age_days
INC0044253,002748383b49f214ae6be524c3e45adb,Document |I can't change my comments in sqad check. The document is read only,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/5a2e66ae333f9e1001691fa19e5c7bbc"", ""value"": ""5a2e66ae333f9e1001691fa19e5c7bbc""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/4dcd9e6a3bbf1e10d00f0dc5e4e45aa5"", ""value"": ""4dcd9e6a3bbf1e10d00f0dc5e4e45aa5""}",,2025-11-03 18:36:37,2025-11-14 08:04:55,,
INC0027627,00aa80913b843290ae6be524c3e45a9f,Bluebeam closes immediately after oppening.,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/d870ca693bb4a210d00f0dc5e4e45a89"", ""value"": ""d870ca693bb4a210d00f0dc5e4e45a89""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/46adca2e33739e1001691fa19e5c7b2f"", ""value"": ""46adca2e33739e1001691fa19e5c7b2f""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/549192e63bbb1e10d00f0dc5e4e45a30"", ""value"": ""549192e63bbb1e10d00f0dc5e4e45a30""}",,2025-09-16 15:02:48,2025-11-14 08:04:57,,
INC0045236,00dee5e93bc1b254ae6be524c3e45a6a,I am still struggling to log into adobe i need to be able to merge documents and have the same access as Charlotte Smith,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/769c2fad3bdc7690ae6be524c3e45a02"", ""value"": ""769c2fad3bdc7690ae6be524c3e45a02""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/125e06c73b67ea50ae6be524c3e45a90"", ""value"": ""125e06c73b67ea50ae6be524c3e45a90""}",,2025-11-06 10:02:15,2025-11-14 08:04:58,,
INC0035788,00f3dae03b20fa14ae6be524c3e45a5c,Bad Gateway code,3,1,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/81aa0c4f3b022e10d00f0dc5e4e45aa6"", ""value"": ""81aa0c4f3b022e10d00f0dc5e4e45aa6""}",,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/0362deea3bbb1e10d00f0dc5e4e45a00"", ""value"": ""0362deea3bbb1e10d00f0dc5e4e45a00""}",,2025-10-09 13:38:50,2025-11-14 08:04:58,,
INC0044917,01026c113bc93e14ae6be524c3e45add,Unable to perform routine actions in MS Outlook,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/9f6e6eee333f9e1001691fa19e5c7bfa"", ""value"": ""9f6e6eee333f9e1001691fa19e5c7bfa""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/04d396ae33f39e1001691fa19e5c7b52"", ""value"": ""04d396ae33f39e1001691fa19e5c7b52""}",,2025-11-05 09:58:36,2025-11-14 08:04:59,,
INC0045694,01eab9393b41f654ae6be524c3e45a10,AVEVA | Application is too slow ,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/2d3feb1d3bacea50d00f0dc5e4e45a16"", ""value"": ""2d3feb1d3bacea50d00f0dc5e4e45a16""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/2d3feb1d3bacea50d00f0dc5e4e45a16"", ""value"": ""2d3feb1d3bacea50d00f0dc5e4e45a16""}",,2025-11-07 05:31:49,2025-11-14 08:05:01,,
INC0045984,02485b8e3bc53e54ae6be524c3e45aa9,LA Desktop|P5 users are experiencing degraded performance when accessing the LA Desktop.,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/645e2e223b375e10d00f0dc5e4e45aed"", ""value"": ""645e2e223b375e10d00f0dc5e4e45aed""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/10e096e23bbb1e10d00f0dc5e4e45a30"", ""value"": ""10e096e23bbb1e10d00f0dc5e4e45a30""}",,2025-11-08 06:58:47,2025-11-14 08:05:02,,
INC0037067,031a76b93be43a54ae6be524c3e45acc,Printer|configure of The New Printer,4,3,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/ed3f2f5133e8ae5001691fa19e5c7ba9"", ""value"": ""ed3f2f5133e8ae5001691fa19e5c7ba9""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/ed3f2f5133e8ae5001691fa19e5c7ba9"", ""value"": ""ed3f2f5133e8ae5001691fa19e5c7ba9""}",,2025-10-13 13:36:05,2025-11-14 08:05:03,,
INC0045006,032f95993b017654399d5d0864e45ada,Risk categorization loading incorrectly in the ATS form,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/55aacc8333c26a9001691fa19e5c7be7"", ""value"": ""55aacc8333c26a9001691fa19e5c7be7""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/204fa9f93b1ae210d00f0dc5e4e45adf"", ""value"": ""204fa9f93b1ae210d00f0dc5e4e45adf""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/4925e2623b735e10d00f0dc5e4e45ab6"", ""value"": ""4925e2623b735e10d00f0dc5e4e45ab6""}",,2025-11-05 14:17:04,2025-11-14 08:05:04,,
INC0029843,03616bc33b84b610ae6be524c3e45a17,SolarWinds alert ||P4||Data Store Latency Alert: Datastore_RDG01 Latency Reached 240.11 ms,4,3,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/e4e40aa13bf4a210d00f0dc5e4e45a6e"", ""value"": ""e4e40aa13bf4a210d00f0dc5e4e45a6e""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/645e6e223b375e10d00f0dc5e4e45ab4"", ""value"": ""645e6e223b375e10d00f0dc5e4e45ab4""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/645e6e223b375e10d00f0dc5e4e45ab4"", ""value"": ""645e6e223b375e10d00f0dc5e4e45ab4""}",,2025-09-22 17:08:55,2025-11-14 08:05:05,,
